,VOLUME of PRODUCT,,,,,,TOTAL MEAL SWIPES,,UTILIZATION RECIPE,,,,DISPLACED RECIPE,,,
Site: UCLA,Total product purchased,Available Product Type (to Prepare for Service),Total available product to repurpose (after primary fabrication or preparation),Product Unable to Repurpose,Total available product left that cannot be repurposed (remaining product waste),,Meal Period Utilization Recipe Served,Meal swipes per period ,Recipe Name,Volume of Repurposed Ingredient Used in Recipe,Cost per recipe,Servings per recipe,Displaced Recipe Name (Optional: if replacing something on the line),Volume that would have been served ,Cost per recipe,Servings per recipe
Product Type: ,(Volume in pounds),(Product Type),(Volume in pounds),(Product Type),(Volume in pounds),,,(when utilization recipe served),,(in pounds),(dollar/cents per recipe),(number of servings),,(of displaced recipe),(dollar/cents per recipe),(number of servings)
Oct 30,,,,,,,Breakfast,1688,Bruin Scramble,78,0.684,312,Breakfast Taco,62.5,0.602,250
Oct 30,,,,,,,Lunch ,2544,Hominy in Pork Gravy,64,0.849,256,Pork Pozole,52,0.939,205
Oct 30,,,,,,,Drey (To go Location),1041,Impossible California Burrito,50,1.06,200,Impossible Tan Tan Ramen,40,1.68,160
Oct 30,,,,,,,Dinner ,2660,Achiote Beef Brisket,35,0.936,140, Texas BBQ Brisket,14,1.234,56
Oct 31,,,,,,,Breakfast,1421,Scramble Egg,94.75,0.46,378,Southern Style Bruin Scramble,75.5,0.56,302
Oct 31,,,,,,,Lunch ,2293,BBQ Chicken Drumsticks,126.75,0.475,507,Grilled Honey Lemon Chicken Drumsticks,101.5,0.765,406
Oct 31,,,,,,,Drey (To go Location),981,Beef Bulgogi,122.5,2.44,245,Bulgogi Bento,261,2.53,196
Oct 31,,,,,,,Dinner ,3493,Chiipotle BBQ Ribs,26.75,0.88,107,Kansas City Pork Ribs,19,1.41,75
Nov 1,,,,,,,Breakfast,1665,Huevos con Chorizo y Papas,33.75,0.5,135,Scramble Eggs,24,0.46,95
Nov 1,,,,,,,Lunch ,2383,Loaded Mac N Cheese,54.25,,217,Mac N Cheese Burger,44,,174
Nov 1,,,,,,,Drey (To go Location),1049,,131,,262,,105,,210
Nov 1,,,,,,,Dinner ,2719,Diced Pineapple at Flex Bar,95.25,,381,Spicy Pineapple Salsa,77,,305
Nov 2,,,,,,,Breakfast,1712,,47,,188,,33,,132
Nov 2,,,,,,,Lunch ,2387,Coconut Rice w/ Pantains,28.25,,113,Caribbean Tofu & Coconut Rice Bowl,20,,79
Nov 2,,,,,,,Drey (To go Location),930,,116,,232,,93,,186
Nov 2,,,,,,,Dinner ,2660,Southen Succotash,35,,140,Corn & Lima Bean Succotash,28,,112
Nov 3,,,,,,,Breakfast,1507,,73.25,,293,,48,,191
Nov 3,,,,,,,Lunch ,2182,Quinoa & Almond Salad,79.5,,318,Quinoa Pilaf,56,,223
Nov 3,,,,,,,Drey (To go Location),836,,104.5,,209,,84,,167
Nov 3,,,,,,,Dinner ,3573,,6.75,,27,,5,,19
,,,,,,,,,,,,,,,,
Nov 6,,,,,,,Breakfast,1860,,10,,40,,8,,32
Nov 6,,,,,,,Lunch ,2377,,30.75,,123,,22,,86
Nov 6,,,,,,,Drey (To go Location),1029,,128.5,,257,,90,,180
Nov 6,,,,,,,Dinner ,2993,,76.75,,307,,61.5,,246
Nov 7,,,,,,,Breakfast,1942,,2,,8,,2,,6
Nov 7,,,,,,,Lunch ,2429,,17.75,,71,,12.5,,50
Nov 7,,,,,,,Drey (To go Location),998,,125,,250,,100,,200
Nov 7,,,,,,,Dinner ,3072,,32,,128,,25.5,,102
Nov 8,,,,,,,Breakfast,1906,,23.5,,94,,18.75,,75
Nov 8,,,,,,,Lunch ,2341,,39.75,,159,,27.75,,111
Nov 8,,,,,,,Drey (To go Location),999,,125,,250,,100,,200
Nov 8,,,,,,,Dinner ,3130,Quinoa Pilaf,5,,20,Cajun Shrimp & Quinoa Casserole,4,,16
Nov 9,,,,,,,Breakfast,1783,,54.25,,217,,38,,152
Nov 9,,,,,,,Lunch ,2400,,25,,100,,20,,80
Nov 9,,,,,,,Drey (To go Location),926,,116,,232,,93,,186
Nov 9,,,,,,,Dinner ,2436,,116,,464,,92.75,,371
Nov 10,,,,,,,Breakfast,1052,,112,,448,,89.5,,358
Nov 10,,,,,,,Lunch ,2642,,14.5,,58,,11.5,,46
Nov 10,,,,,,,Drey (To go Location),886,,111,,222,,77.5,,155
Nov 10,,,,,,,Dinner ,2890,,2.5,,10,,2,,8
,,,,,,,,,,,,,,,,
Nov 13,,,,,,,Breakfast,1642,,14.5,,58,,11.5,,46
